a,75006,
an,67766,
air,35543,
tha,35497,
e,29570,
agus,28912,
ann,25919,
na,25447,
bha,20970,
gu,16283,
sin,15892,
mi,13219,
am,10696,
ach,10368,
iad,10142,
seo,9356,
aig,8490,
airson,8424,
anns,8326,
mar,8148,
robh,8021,
bhith,6576,
do,6049,
gun,5984,
bheil,5894,
is,5759,
ag,5597,
ri,5473,
cha,5452,
i,5442,
chaidh,5341,
chan,5190,
eil,5169,
sinn,5166,
le,4576,
de,4508,
nach,4507,
math,4377,
mu,4157,
eile,3988,
no,3972,
dol,3964,
nuair,3951,
nan,3731,
fhèin,3497,
the,3428,
thu,3171,
daoine,2955,
às,2891,
cuideachd,2867,
cho,2864,
gum,2853,
ris,2848,
bidh,2776,
as,2726,
rud,2686,
uile,2657,
duine,2623,
dè,2622,
bhiodh,2611,
bho,2569,
dìreach,2546,
a-mach,2534,
dhèanamh,2525,
dèanamh,2487,
gàidhlig,2462,
aon,2426,
uill,2395,
bliadhna,2340,
iain,2331,
chur,2310,
leis,2288,
aca,2258,
fear,2257,
dà,2151,
uair,2130,
obair,2090,
sibh,2088,
mòr,2075,
àite,2071,
aige,2014,
an-diugh,1996,
dhen,1990,
alba,1985,
neach-aithris,1966,
thuirt,1952,
far,1948,
latha,1948,
deug,1934,
gur,1919,
agam,1859,
fhuair,1848,
mhòr,1848,
don,1833,
nam,1829,
ga,1823,
rinn,1818,
chuir,1791,
dhan,1781,
dha,1776,
and,1773,
tighinn,1746,
eilean,1733,
nas,1727,
mo,1710,
cur,1707,
bi,1699,
thàinig,1691,
of,1682,
dòcha,1680,
à,1657,
ràdh,1646,
dòmhnall,1637,
dèidh,1616,
àm,1587,
ma,1576,
bith,1561,
bhon,1553,
biodh,1546,
fhios,1543,
againn,1541,
thug,1538,
mise,1536,
taobh,1531,
thoirt,1506,
bu,1497,
ceud,1474,
sa,1469,
smaoineachadh,1466,
a-nis,1453,
fhathast,1442,
ainm,1421,
là,1408,
agad,1401,
toirt,1379,
to,1378,
chiad,1370,
trì,1361,
dheidhinn,1354,
toiseach,1345,
cuid,1337,
bhios,1326,
sam,1313,
san,1311,
còmhla,1286,
tu,1276,
dhol,1272,
leòr,1253,
seann,1251,
rudan,1248,
eadar,1245,
ùr,1240,
beag,1235,
gus,1218,
mun,1173,
coimhead,1161,
sgìre,1154,
iarraidh,1142,
faisg,1141,
mòran,1138,
so,1137,
a-steach,1136,
fuireach,1132,
màiri,1129,
tòrr,1128,
chionn,1127,
taigh,1125,
co-dhiù,1122,
loch,1110,
ged,1095,
ghàidhlig,1095,
dhomh,1094,
seachad,1083,
