a,bhith,a’,1618
air,a,bhith,1592
an,uair,sin,1374
a’,dol,a,1033
bbc,an,là,810
a,chur,air,709
mi,a’,smaoineachadh,625
ann,an,alba,589
aig,an,àm,586
an,toiseach,ann,567
toiseach,ann,an,560
chaidh,am,prògram,534
am,prògram,seo,534
a,h-uile,duine,533
a,chraoladh,an,532
chraoladh,an,toiseach,532
mi,a’,dol,509
far,a,bheil,506
ann,an,gàidhlig,495
ann,an,seo,490
ann,am,beurla,482
air,a,bheil,479
a,chaidh,a,439
a,h-uile,càil,381
a,bharrachd,air,376
a,bhith,ag,370
a’,fuireach,ann,369
airson,a,bhith,360
a,bhith,ann,357
ann,an,sin,349
air,a,dhol,339
gu,bheil,an,312
anns,an,sgìre,293
anns,an,eilean,288
a,thoirt,air,284
a’,dol,air,277
smaoineachadh,gu,bheil,277
a’,coimhead,air,276
sam,bith,a,275
ann,an,dòigh,275
ann,an,uibhist,264
fhad,’s,a,264
a,dhèanamh,air,255
fuireach,ann,an,252
a,bhith,air,248
air,a’,ghàidhealtachd,246
ann,a,bhith,241
ann,an,inbhir,240
ann,an,dùn,239
gu,bheil,iad,239
an,t-seachdain,sa,237
an,t-ainm,a,233
air,an,rathad,232
mi,ag,innse,231
a’,feuchainn,ri,229
a’,smaoineachadh,gu,226
ann,an,ceann,222
ann,an,glaschu,221
ag,innse,dhuibh,221
an,àm,sin,219
shona,nicdhòmhnaill,neach-aithris,219
dol,a,chur,218
an,rud,a,214
mar,gum,biodh,214
anns,a,bheil,209
a,bhios,a’,209
anns,na,h-eileanan,208
mi,a’,dèanamh,206
air,feadh,na,206
t-seachdain,sa,chaidh,206
an,fheadhainn,a,206
mi,an,dòchas,204
nuair,a,chaidh,204
aig,a,bheil,201
sin,a’,ciallachadh,199
o,chionn,ghoirid,199
an,sàs,ann,199
mi,a’,smaointinn,196
an,aon,rud,193
an,inbhir,nis,193
a,bheil,an,192
mi,ann,an,190
air,a,dhèanamh,189
an,dùn,èideann,185
sin,a,dhèanamh,185
eilidh,nicleòid,neach-aithris,185
air,a,shon,184
ris,an,canar,184
iad,a’,dèanamh,183
iad,a’,dol,183
mi,air,a,182
ann,an,leòdhas,180
air,feadh,an,179
ann,am,meadhan,178
nuair,a,thàinig,178
sin,ann,an,178
a’,smaoineachadh,gun,177
an,eilean,sgitheanach,175
air,an,oidhche,175
far,an,do,174
iad,air,an,174
air,an,taobh,174
bhiodh,iad,a’,173
dol,a,dhèanamh,173
fear,de,na,170
rudan,mar,sin,170
ann,am,baile,169
an,dòchas,gun,169
ag,obair,air,169
muinntir,an,àite,169
ag,innse,dhuinn,168
bhith,ag,obair,167
ag,ràdh,gun,166
gun,a,bhith,166
bhith,ann,an,165
am,measg,nan,165
a’,smaoineachadh,gur,164
an,latha,an-diugh,162
duine,sam,bith,162
an,dòchas,gum,162
às,dèidh,sin,159
dhen,bheachd,gun,157
sibh,eòlach,air,156
ach,nuair,a,154
mar,sin,a,153
mac,a’,ghobhainn,152
bhith,a’,dèanamh,152
andreas,wolff,neach-aithris,152
ann,an,àite,151
ann,an,steòrnabhagh,151
bhith,a’,dol,150
le,bhith,a’,150
cuid,de,na,150
bu,mhath,leam,149
am,fear,a,149
anns,an,leabhar,149
aig,an,aon,148
mi,ag,iarraidh,148
