a,bhith,a’,464
ann,am,beurla,457
an,uair,sin,433
ann,an,alba,411
air,a,bhith,396
ann,an,gàidhlig,394
air,a,bheil,369
a’,dol,a,322
aig,an,àm,284
a’,fuireach,ann,252
a,chur,air,230
mi,ag,innse,226
a,chaidh,a,219
ag,innse,dhuibh,217
an,t-seachdain,sa,204
air,a,dhol,200
t-seachdain,sa,chaidh,199
far,a,bheil,193
anns,an,eilean,192
an,t-ainm,a,177
o,chionn,ghoirid,176
ris,an,canar,175
air,an,rathad,172
fhad,’s,a,167
a,bharrachd,air,165
sibh,eòlach,air,156
anns,an,sgìre,154
mi,a’,dol,153
fuireach,ann,an,150
dhen,bheachd,gun,149
bu,mhath,leam,147
ann,am,meadhan,145
airson,a,bhith,145
ann,an,ceann,141
ag,innse,dhuinn,140
innse,dhuibh,mu,138
ann,an,inbhir,134
fear,de,na,134
ann,an,dùn,132
an,àm,sin,130
air,a’,ghàidhealtachd,129
a,thoirt,air,126
ann,an,siorrachd,126
a,h-uile,duine,125
muinntir,an,àite,125
sin,a’,ciallachadh,123
an,naoidheamh,linn,123
innsidh,mi,dhuibh,123
le,bhith,a’,122
anns,an,t-seann,121
anns,an,leabhar,121
a,rèir,beul-aithris,121
ag,ràdh,gun,120
am,fear,eile,120
thathar,ag,ràdh,119
am,fear,a,117
nuair,a,thàinig,116
mi,ann,an,115
nuair,a,chaidh,115
air,an,oidhche,114
a,bhith,ann,113
a,dhèanamh,air,113
iad,air,an,112
sin,ann,an,112
a,rèir,choltais,110
taobh,an,iar,110
bhiodh,iad,a’,110
far,an,do,109
am,measg,nan,107
nuair,a,ràinig,107
eòlach,air,an,106
anns,a,bheil,105
às,dèidh,sin,105
gu,bheil,an,103
a,bheil,an,103
’s,dòcha,gu,102
an,sàs,ann,101
an,dèidh,sin,101
ceathrad,’s,a,100
anns,a’,bhliadhna,99
an,ceann,a,99
faisg,air,a’,99
ach,nuair,a,96
faisg,air,an,95
an,inbhir,nis,95
ceann,a,tuath,94
ochdad,’s,a,94
cuid,de,na,92
ann,a,bhith,92
a’,fuireach,anns,92
an,fheadhainn,a,92
ann,an,àite,91
a’,cumail,a-mach,91
’s,a,h-aon,90
