air,a,bhith,591
a,bhith,a’,567
an,uair,sin,455
bbc,an,là,405
a’,dol,a,332
mi,a’,smaoineachadh,287
an,toiseach,ann,273
toiseach,ann,an,271
chaidh,am,prògram,267
am,prògram,seo,267
a,chraoladh,an,266
chraoladh,an,toiseach,266
ann,an,seo,242
a,chur,air,237
a,h-uile,duine,202
a,h-uile,càil,170
mi,a’,dol,163
ann,an,sin,162
far,a,bheil,153
a,bhith,ag,151
aig,an,àm,150
smaoineachadh,gu,bheil,126
a,bhith,ann,121
ann,an,dòigh,111
ann,an,uibhist,110
a,chaidh,a,110
a’,dol,air,106
airson,a,bhith,105
gu,bheil,an,105
a,bharrachd,air,105
sam,bith,a,98
gu,bheil,iad,98
mar,gum,biodh,96
a’,smaoineachadh,gu,95
mi,a’,smaointinn,94
a’,coimhead,air,92
ann,an,alba,89
ann,an,glaschu,87
a’,feuchainn,ri,86
a,bhith,air,83
an,rud,a,82
rudan,mar,sin,80
air,feadh,na,79
a,thoirt,air,79
bhith,ag,obair,77
dol,a,chur,77
mi,a’,dèanamh,77
a,bhios,a’,75
sin,a,dhèanamh,74
ann,a,bhith,74
ann,an,le,71
a,dhèanamh,air,71
anns,na,h-eileanan,70
dol,a,dhèanamh,70
mi,an,dòchas,69
mi,air,a,69
an,dòchas,gum,69
anns,an,sgìre,69
air,a,dhol,69
an,le,taing,68
le,taing,do,68
iad,a’,dèanamh,67
a’,smaoineachadh,gur,67
an,dòchas,gun,66
sinn,a’,dol,66
air,feadh,an,65
ag,obair,air,65
iad,a’,dol,64
air,a,dhèanamh,64
an,là,ann,64
aig,a,bheil,62
an,aithris,seo,62
bhith,a’,dol,61
bidh,mi,a’,61
a,bheil,thu,60
ann,an,steòrnabhagh,60
uibhist,a,deas,60
h-uile,càil,a,60
bhith,a’,dèanamh,59
aithris,seo,aig,59
a’,fuireach,ann,58
bidh,sinn,a’,58
air,a’,ghàidhealtachd,58
ann,an,leòdhas,57
an,uibhist,a,57
an,aon,rud,56
air,a,shon,56
thu,ag,iarraidh,56
an,fheadhainn,a,56
mi,a’,creidsinn,56
bhith,ann,an,56
smaointinn,gu,bheil,55
air,a,bheil,55
na,rudan,a,55
seo,ann,an,54
gu,bheil,na,53
nuair,a,bhios,53
ann,an,dùn,53
gu,bhith,a’,53
ann,an,inbhir,53
iad,ag,ràdh,52
aig,an,aon,52
sinn,a’,dèanamh,52
dòchas,gum,bi,52
tro,mheadhan,na,52
feadh,an,t-saoghail,51
anns,a,bheil,51
ag,iarraidh,a,51
fuireach,ann,an,51
duine,sam,bith,51
chur,air,dòigh,51
mheadhan,na,gàidhlig,51
nicdhòmhnaill,bbc,an,51
an,obair,a,50
a,bhith,ga,50
sinn,an,dòchas,50
an,dùn,èideann,50
ann,an,gàidhlig,50
mi,ag,iarraidh,50
là,ann,an,50
ràdh,gu,bheil,49
an,sàs,ann,49
ag,ràdh,gu,49
an,inbhir,nis,49
anns,an,eilean,48
a’,smaoineachadh,gun,48
a,bheil,iad,47
sin,a’,dol,47
fhad,’s,a,47
a,bhith,an,47
an,eilean,sgitheanach,46
mi,ag,ràdh,46
mar,a,thuirt,46
a,bhith,a,46
bheil,iad,a’,46
an,aon,àm,46
a’,dol,gu,45
air,an,eilean,45
a’,dol,dhan,45
mar,as,trice,45
a,chur,ann,45
nuair,a,chaidh,44
an,àm,sin,44
ann,am,baile,44
a,dol,a,44
an,seo,a,43
gu,bheil,mi,43
a’,dol,ann,43
taing,do,caledonia,43
do,caledonia,tv,43
sin,nuair,a,43
air,an,taobh,43
a,bheil,an,43
airson,a’,chiad,43
anns,an,sgoil,43
an,rud,as,43
a,dhol,air,43
gu,bheil,sinn,43
shona,nicdhòmhnaill,bbc,43
a’,tighinn,a-steach,42
aig,an,taigh,42
ann,an,siud,42
mar,phàirt,de,42
bidh,iad,a’,42
a’,còrdadh,rium,41
cinnteach,gu,bheil,41
a’,dol,a-mach,41
gu,math,cudromach,41
air,a,h-uile,41
iad,ag,iarraidh,41
eilidh,nicleòid,bbc,41
nicleòid,bbc,an,41
a,h-uile,rud,40
rud,sam,bith,40
gun,a,bhith,40
na,daoine,a,40
dol,air,adhart,40
gu,bheil,sin,39
’s,ann,an,39
ann,an,ceann,39
uair,sin,a’,39
gu,math,tric,39
mar,a,chanas,39
uibhist,a,tuath,39
h-eileanan,an,iar,38
a’,smaointinn,gu,38
bruidhinn,mu,dheidhinn,38
air,an,sin,38
bhith,a’,cur,38
ag,amas,air,38
sin,a’,ciallachadh,38
an,seo,ann,38
uile,gu,lèir,38
